cod interno do cliente,Descrição,codigo fornecedores,Detalhe,Aplicação,Diam.Copinho,Diam.Rolamento,Face a Face Cruzeta
050.43Q.STH,COLUNA DE DIRECAO,RCD133,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 540.00mm FACE A FACE FECHADO,VOLVO B10M VERTICAL,19.00mm,,47.00mm
050.43R.SPI,COLUNA DE DIRECAO,2106.1022/04X,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 400.00mm FACE A FACE FECHADO,VOLVO B10M HORIZONTAL,19.00mm,,47.00mm
050.43R.STH,COLUNA DE DIRECAO,RCD134,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 405.00mm FACE A FACE FECHADO,VOLVO B10M HORIZONTAL,19.00mm,,47.00mm
050.43S.SPI,COLUNA DE DIRECAO,2106.1022/09X,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 899.00mm FACE A FACE FECHADO,VOLVO B12,19.00mm,,47.00mm
050.43S.STH,COLUNA DE DIRECAO,RCD135,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 899.00mm FACE A FACE FECHADO,VOLVO B12,19.00mm,,47.00mm
050.43T.SPI,COLUNA DE DIRECAO,2106.1022/13X,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 324.00mm FACE A FACE FECHADO,VOLVO B12,19.00mm,,47.00mm
050.43T.STH,COLUNA DE DIRECAO,RCD136,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 324.00mm FACE A FACE FECHADO,VOLVO B12,19.00mm,,47.00mm
050.43U.STH,COLUNA DE DIRECAO,RCD137,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 625.00mm FACE A FACE FECHADO,MB O500RSD HORIZONTAL,19.00mm,,47.00mm
050.43V.STH,COLUNA DE DIRECAO,RCD142,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 500.00mm FACE A FACE FECHADO,VOLVO F10/F12/F16/FL10,19.00mm,,47.00mm
050.43W.STH,COLUNA DE DIRECAO,RCD177,LADO 1 ESTRIADO = 36 ESTRIAS LADO 2 ESTRIADO = 18 ESTRIAS,FORD CARGO,19.00mm,,47.00mm
050.43X.STH,COLUNA DE DIRECAO,RCD146,,FORD,19.00mm,,47.00mm
050.43XA.STH,COLUNA DE DIRECAO,RCD147,,FORD CARGO 814/815/915,19.00mm,,47.00mm
050.43Z.STH,COLUNA DE DIRECAO,RCD187,36 ESTRIAS LADO 1 E LADO 2,AGRALE MA 7.5/MA 8.5,19.00mm,,47.00mm
050.44.AEM,JUNTA AUTOMOTIVA,JA651,COMPOSTA DE TA601(Ө 13/16''CURTO/CHAVETA 1/4''/MEDE 75.00mm) E TA603(□ 3/4''LONGO/MEDE 125.00mm,TDP SERIE 500,19.00mm,,47.00mm
050.44.STH,JUNTA AUTOMOTIVA,HJU801,COMPOSTA DE TA601(Ө 13/16''CURTO/CHAVETA 1/4''/MEDE 75.00mm) E TA603(□ 3/4''LONGO/MEDE 125.00mm),TDP SERIE 500,19.00mm,,47.00mm
050.44.STU,JUNTA AUTOMOTIVA,CR110,COMPOSTA DE CR28(Ө 13/16''CURTO/CHAVETA 1/4''/MEDE 70.00mm) E CR55(□ 3/4''LONGO/MEDE 130.00mm),TDP SERIE 500,19.00mm,,47.00mm
050.44A.AEM,JUNTA AUTOMOTIVA,JA654,COMPOSTA DE TA601(Ө 13/16''CURTO/CHAVETA 1/4''/MEDE 75.00mm) E TA604(□ 3/4''CURTO/MEDE 75.00mm),TDP SERIE 500,19.00mm,,47.00mm
